iter	Passed	Remaining
0	1	99
1	1	94
2	2	88
3	3	84
4	4	88
5	5	89
6	6	91
7	7	90
8	8	88
9	9	89
10	10	88
11	11	86
12	12	84
13	13	84
14	14	84
15	16	85
16	17	84
17	18	82
18	19	81
19	20	81
20	21	81
21	22	80
22	23	78
23	24	77
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	42	58
42	43	57
43	43	55
44	44	54
45	46	54
46	47	53
47	48	52
48	49	51
49	49	49
50	51	49
51	51	47
52	52	46
53	53	45
54	54	44
55	56	44
56	57	43
57	58	42
58	58	40
59	59	39
60	60	38
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	79	19
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	92	9
91	93	8
92	94	7
93	95	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
